Names,Bay,Month,MoYr,Monitoring_Period,NumberDays,Quadrat,Habitat,Stage,Tag,Tracking_Period,Lat,Long,Surv,Surv_Consolidated,Condition,PercChgOverallByDays,PercentChangeHeightOverall,ChangeHeightOverall,PercChgPeriodByDays,PercentChangeHeightBtwPeriods,ChangeHeightBtwPeriods,Height,Water_Depth,Hypo_Color,Branches,Nodes_ms,Leaves_ms,Nodes_br,Leaves_br,Photo,NOTES
LU,Water,April,23-Apr,2,69,S1,fringe,Seedling,575,Secondary,18.350267,-64.689143,A,A,H,0,0,0,0,0,0,13.3,0,G,0,0,0,0,0,Y,
LU,Water,August,23-Aug,3,143,S1,fringe,Seedling,166,Tertiary,18.350272,64.689162,A,A,H,0,0,0,0,0,0,14.3,18,G,0,0,0,0,0,Y,NEW!
LU,Otter,April,23-Apr,2,69,U3,debris,Seedling,481,Secondary,18.3516,-64.691102,A,A,H,0,0,0,0,0,0,17.5,25,G,0,0,0,0,0,Y,"NEW, NO NODES OR LEAVES YET"
LU,Otter,April,23-Apr,2,69,U3,debris,Seedling,466,Secondary,18.351575,-64.691086,A,A,H,0,0,0,0,0,0,18,28,G,0,0,0,0,0,Y,"NEW, NO NODES OR LEAVES YET"
LU,Water,February,24-Feb,4,174,U3,debris,Seedling,453,Quaternary,18.345152,-64.69064,A,A,W,0,0,0,0,0,0,18,0,G,1,0,0,1,2,Y,"MSD, NEW STEM DECAP"
LU,Otter,August,23-Aug,3,143,S1,fringe,Seedling,167,Tertiary,18.39986,64.691064,A,A,H,0,0,0,0,0,0,18.3,25,G,0,0,0,0,0,Y,
LU,Water,February,24-Feb,4,174,S2,fringe,Seedling,477,Quaternary,18.348123,-64.68984,A,A,W,0,0,0,0,0,0,19.2,0,G,0,0,0,0,0,Y,DECAP
LU,Water,February,24-Feb,4,174,U1,debris,Seedling,584,Primary,18.34999,-64.689279,DY,A,W,-0.130208333,-22.65625,-5.8,-0.104493208,-18.18181818,-4.4,19.8,0,Y,2,2,0,4,3,Y,"MSD, MOST OF HYPOCOTYL DEAD"
LU,Water,August,23-Aug,3,143,U1,debris,Seedling,471,Secondary,18.350015,-64.689327,A,A,W,-0.051797203,-7.407,-1.6,-0.051800052,-7.407407407,-1.6,20,14,YG,0,2,0,0,0,Y,
LU,Otter,August,23-Aug,3,143,S2,fringe,Seedling,236,Tertiary,18.351293,64.690905,A,A,H,0,0,0,0,0,0,20.3,19,YG,0,0,0,0,0,Y,
