"Bay","Habitat","Tag","January","April","August","February"
"Otter","fringe",126,"seedling","Dead","Dead","Dead"
"Water","fringe",595,"sapling","sapling","tree","tree"
"Water","debris",597,"seedling","seedling","NotFound","NotFound"
"Water","fringe",513,"seedling","Dead","Dead","Dead"
"Water","fringe",585,"seedling","seedling","Dead","Dead"
"Water","fringe",582,"seedling","seedling","seedling","NotFound"
"Water","debris",584,"seedling","seedling","seedling","seedling"
"Otter","debris",532,"seedling","seedling","seedling","Dead"
"Otter","fringe",121,"seedling","seedling","Dead","Dead"
"Otter","fringe",596,"seedling","Dead","Dead","Dead"
"Otter","fringe",530,"seedling","Dead","Dead","Dead"
"Water","fringe",170,"sapling","sapling","sapling","sapling"
"Water","fringe",185,"sapling","sapling","sapling","sapling"
"Water","debris",178,"seedling","NotFound","NotFound","NotFound"
"Water","debris",190,"seedling","seedling","seedling","seedling"
"Water","fringe",176,"seedling","Dead","Dead","Dead"
"Water","fringe",483,NA,"seedling","seedling","seedling"
"Water","fringe",195,NA,"seedling","NotFound","NotFound"
"Water","debris",162,NA,"seedling","NotFound","NotFound"
"Water","fringe",575,NA,"seedling","Dead","Dead"
"Water","debris",471,NA,"seedling","seedling","Dead"
"Water","debris",465,NA,"seedling","seedling","seedling"
"Water","debris",433,NA,"seedling","seedling","Dead"
"Otter","debris",466,NA,"seedling","NotFound","NotFound"
"Otter","debris",481,NA,"seedling","NotFound","NotFound"
"Water","fringe",166,NA,NA,"seedling","seedling"
"Water","debris",583,NA,NA,"seedling","seedling"
"Otter","fringe",167,NA,NA,"seedling","seedling"
"Otter","fringe",238,NA,NA,"seedling","seedling"
"Otter","fringe",236,NA,NA,"seedling","seedling"
"Water","fringe",456,NA,NA,NA,"seedling"
"Water","debris",453,NA,NA,NA,"seedling"
"Water","debris",469,NA,NA,NA,"seedling"
"Water","fringe",477,NA,NA,NA,"seedling"
"Otter","fringe",498,NA,NA,NA,"seedling"
