Bay,Habitat,Tag,January,April,August,February
Otter,fringe,126,seedling,Dead,Dead,Dead
Water,fringe,595,sapling,sapling,tree,tree
Water,debris,597,seedling,seedling,NotFound,NotFound
Water,fringe,513,seedling,Dead,Dead,Dead
Water,fringe,585,seedling,seedling,Dead,Dead
Water,fringe,582,seedling,seedling,seedling,NotFound
Water,debris,584,seedling,seedling,seedling,seedling
Otter,debris,532,seedling,seedling,seedling,Dead
Otter,fringe,121,seedling,seedling,Dead,Dead
Otter,fringe,596,seedling,Dead,Dead,Dead
Otter,fringe,530,seedling,Dead,Dead,Dead
Water,fringe,170,sapling,sapling,sapling,sapling
Water,fringe,185,sapling,sapling,sapling,sapling
Water,debris,178,seedling,NotFound,NotFound,NotFound
Water,debris,190,seedling,seedling,Seedling,seedling
Water,fringe,176,seedling,Dead,Dead,Dead
Water,fringe,483,NULL,seedling,seedling,seedling
Water,fringe,195,NULL,seedling,NotFound,NotFound
Water,debris,162,NULL,seedling,NotFound,NotFound
Water,fringe,575,NULL,seedling,Dead,Dead
Water,debris,471,NULL,seedling,seedling,Dead
Water,debris,465,NULL,seedling,seedling,seedling
Water,debris,433,NULL,seedling,seedling,Dead
Otter,debris,466,NULL,seedling,NotFound,NotFound
Otter,debris,481,NULL,seedling,NotFound,NotFound
Water,fringe,166,NULL,NULL,seedling,seedling
Water,debris,583,NULL,NULL,seedling,seedling
Otter,fringe,167,NULL,NULL,seedling,seedling
Otter,fringe,238,NULL,NULL,seedling,seedling
Otter,fringe,236,NULL,NULL,seedling,seedling
Water,fringe,456,NULL,NULL,NULL,seedling
Water,debris,453,NULL,NULL,NULL,seedling
Water,debris,469,NULL,NULL,NULL,seedling
Water,fringe,477,NULL,NULL,NULL,seedling
Otter,fringe,498,NULL,NULL,NULL,seedling
